project name, file path, num of dependency classes, num of mocked classes,
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/client/HConnectionTestingUtility.java,3,3,100%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/client/locking/TestEntityLocks.java,37,1,3%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestCoprocessorInterface.java,52,1,2%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestCoprocessorConfiguration.java,29,3,10%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestRegionCoprocessorHost.java,42,7,17%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestRegionObserverStacking.java,31,1,3%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestRegionObserverInterface.java,81,1,1%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestRegionObserverPreFlushAndPreCompact.java,27,2,7%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/errorhandling/TestForeignExceptionDispatcher.java,11,1,9%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/errorhandling/TestTimeoutExceptionInjector.java,10,1,10%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/executor/TestExecutorService.java,32,1,3%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/filter/TestFilterList.java,29,1,3%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/io/hfile/TestBlockIOUtils.java,31,2,6%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/io/hfile/TestLruCachedBlock.java,10,1,10%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/io/hfile/TestHFile.java,71,1,1%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/io/hfile/TestHFileBlock.java,65,1,2%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/io/hfile/bucket/TestBucketCache.java,48,1,2%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/io/hfile/bucket/TestFileIOEngine.java,28,1,4%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/io/hfile/bucket/TestBucketWriterThread.java,22,2,9%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/ipc/TestBufferChain.java,18,0,0%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/ipc/TestCallRunner.java,8,2,25%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/ipc/TestSimpleRpcScheduler.java,55,4,7%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/ipc/TestRpcHandlerException.java,25,1,4%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/ipc/TestMasterFifoRpcScheduler.java,25,2,8%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/ipc/AbstractTestIPC.java,66,0,0%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/ipc/TestFifoRpcScheduler.java,24,2,8%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/ipc/TestRpcServerTraceLogging.java,11,1,9%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/master/TestActiveMasterManager.java,33,1,3%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/master/TestMasterCoprocessorServices.java,42,1,2%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/master/TestMasterQosFunction.java,21,1,5%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/master/MockNoopMasterServices.java,43,1,2%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/master/TestMasterDryRunBalancer.java,21,0,0%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/master/TestRegionsRecoveryChore.java,36,2,6%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/master/TestSplitLogManager.java,53,1,2%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/master/TestMasterBalancerNPE.java,27,0,0%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/master/assignment/TestHbckChore.java,28,0,0%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/master/assignment/MockMasterServices.java,57,1,2%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/master/balancer/TestBalancerDecision.java,25,1,4%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/master/balancer/TestBalancerRejection.java,23,1,4%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/master/balancer/TestRSGroupBasedLoadBalancerWithStochasticLoadBalancerAsInternal.java,29,3,10%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/master/balancer/RSGroupableBalancerTestBase.java,37,4,11%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/master/cleaner/TestReplicationBarrierCleaner.java,48,2,4%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/master/cleaner/TestReplicationHFileCleaner.java,48,0,0%
hbase,/hbase-server/src/test/java/org/apache/hadoop/hbase/master/cleaner/TestSnapshotCleanerChore.java,18,1,6%
